id|city|match_date|season|match_number|team1|team2|venue|toss_winner|toss_decision|superover|winning_team|won_by|margin|method|player_of_match|umpire1|umpire2
1178425|Chennai|2019-05-01|2019|50|Chennai Super Kings|Delhi Capitals|MA Chidambaram Stadium|Delhi Capitals|field|N|Chennai Super Kings|Runs|80.0||MS Dhoni|AY Dandekar|Nitin Menon
1178416|Chennai|2019-04-23|2019|41|Sunrisers Hyderabad|Chennai Super Kings|MA Chidambaram Stadium|Chennai Super Kings|field|N|Chennai Super Kings|Wickets|6.0||SR Watson|AK Chaudhary|NJ Llong
1178398|Chennai|2019-04-09|2019|23|Kolkata Knight Riders|Chennai Super Kings|MA Chidambaram Stadium|Chennai Super Kings|field|N|Chennai Super Kings|Wickets|7.0||DL Chahar|C Shamshuddin|RJ Tucker
1178393|Chennai|2019-04-06|2019|18|Chennai Super Kings|Kings XI Punjab|MA Chidambaram Stadium|Chennai Super Kings|bat|N|Chennai Super Kings|Runs|22.0||Harbhajan Singh|KN Ananthapadmanabhan|RJ Tucker
1175367|Chennai|2019-03-31|2019|12|Chennai Super Kings|Rajasthan Royals|MA Chidambaram Stadium|Rajasthan Royals|field|N|Chennai Super Kings|Runs|8.0||MS Dhoni|CK Nandan|YC Barde
1175356|Chennai|2019-03-23|2019|1|Royal Challengers Bangalore|Chennai Super Kings|MA Chidambaram Stadium|Chennai Super Kings|field|N|Chennai Super Kings|Wickets|7.0||Harbhajan Singh|AY Dandekar|BNJ Oxenford
1136565|Chennai|2018-04-10|2018|5|Kolkata Knight Riders|Chennai Super Kings|MA Chidambaram Stadium|Chennai Super Kings|field|N|Chennai Super Kings|Wickets|5.0||SW Billings|AK Chaudhary|CB Gaffaney
829797|Chennai|2015-05-10|2015|47|Chennai Super Kings|Rajasthan Royals|MA Chidambaram Stadium- Chepauk|Chennai Super Kings|bat|N|Chennai Super Kings|Runs|12.0||RA Jadeja|M Erasmus|CK Nandan
829779|Chennai|2015-05-04|2015|37|Chennai Super Kings|Royal Challengers Bangalore|MA Chidambaram Stadium- Chepauk|Chennai Super Kings|bat|N|Chennai Super Kings|Runs|24.0||SK Raina|C Shamshuddin|K Srinath
829765|Chennai|2015-04-28|2015|28|Chennai Super Kings|Kolkata Knight Riders|MA Chidambaram Stadium- Chepauk|Kolkata Knight Riders|field|N|Chennai Super Kings|Runs|2.0||DJ Bravo|RM Deshpande|VA Kulkarni
829753|Chennai|2015-04-25|2015|24|Chennai Super Kings|Kings XI Punjab|MA Chidambaram Stadium- Chepauk|Chennai Super Kings|bat|N|Chennai Super Kings|Runs|97.0||BB McCullum|JD Cloete|C Shamshuddin
829711|Chennai|2015-04-11|2015|4|Chennai Super Kings|Sunrisers Hyderabad|MA Chidambaram Stadium- Chepauk|Chennai Super Kings|bat|N|Chennai Super Kings|Runs|45.0||BB McCullum|RK Illingworth|VA Kulkarni
829707|Chennai|2015-04-09|2015|2|Chennai Super Kings|Delhi Daredevils|MA Chidambaram Stadium- Chepauk|Delhi Daredevils|field|N|Chennai Super Kings|Runs|1.0||A Nehra|RK Illingworth|VA Kulkarni
